&oelig;uvre-	ph:õvr	ph:oeuvre
&oelig;uvre-rel	ph:õvrrel	ph:oeuvrerel
&oelig;uvre-ré	ph:õvrré	ph:oeuvreré
&oelig;uvre	ph:õvr	ph:oeuvre
-házhozszállítás	hy:|ház-hoz|szál-lí-tás
Kaposszerdahely	hy:Ka-pos|szer-da|hely
Kawasaki	ph:kavaszaki
Keats	ph:kítsz
Kelety	hy:t.y
Kemenesszentmárton	hy:Ke-me-nes|szent|már-ton
Kemenesszentpéter	hy:Ke-me-nes|szent|pé-ter
Kereszty	hy:t.y
Kerny	hy:n.y
Kertbeny	hy:n.y
Kismarty	hy:t.y
Kisszekeres	hy:Kis|sze-ke-res
Kisszentmárton	hy:Kis|szent|már-ton
Kissziget	hy:Kis|szi-get
Kisszállás	hy:Kis|szál-lás
Kisszékely	hy:Kis|szé-kely
Kisszõlõs	hy:Kis|szõlõs
Kiszombor	hy:Kis|zom-bor
Kiszsidány	hy:Kis|zsi-dány
Kmetty	hy:t.y
Kmety	hy:t.y
Kossuth	ph:kosut
Kovách	ph:kovács
Kováts	ph:kovács
Ku-Klux-Klan	ph:ku-klux-klán
Kukorelly	hy:Ku-ko-rel-l.y
Kéthly	hy:l.y
Kétly	hy:l.y
Körösszakál	hy:Kö-rös|sza-kál
Körösszegapáti	hy:Kö-rös|szeg|a=pá-ti
Lacsny	hy:n.y
Lagrange-	ph:lagranzs
Lagrange-zsal	ph:lagranzzsal
Lagrange-zsá	ph:lagranzzsá
Lagrange	ph:lagranzs
Lamborghini	ph:lambordzsini
Laplace-	ph:laplasz
Laplace-szal	ph:laplasszal
Laplace-szá	ph:laplasszá
Laplace	ph:laplasz
Larousse-	ph:larussz
Larousse-szal	ph:larusszal
Larousse-szá	ph:larusszá
Larousse	ph:larussz
Lavoisier-	ph:lavoaizé
Lavoisier-val	ph:lavoaizéval
Lavoisier-vá	ph:lavoaizévá
Lavoisier	ph:lavoaizé
Lebesgue	ph:löbeg
LibreOffice-	ph:libreofisz
LibreOffice-szal	ph:libreofisszal
LibreOffice-szá	ph:libreofisszá
LibreOffice-t	ph:libreofiszt
LibreOffice	ph:libreofisz
Libreville-	ph:librövill
Libreville-lel	ph:librövillel
Libreville-lé	ph:librövillé
Libreville-t	ph:librövillt
Libreville	ph:librövill
Livingstone-	ph:livingszton
Livingstone-nal	ph:livingsztonnal
Livingstone-ná	ph:livingsztonná
Livingstone	ph:livingszton
Loire-	ph:loár
Loire-ral	ph:loárral
Loire-rá	ph:loárrá
Loire	ph:loár
Lorca	ph:lorka*
Lorentzcel
Lorentzcé
Louis-	ph:lui
Louis-i	ph:luii
Louis-val	ph:luival
Louis-vá	ph:luivá
Louis	ph:lui
Louvre-	ph:lúvr
Louvre-ral	ph:lúvrral
Louvre-rá	ph:lúvrrá
Louvre	ph:lúvr
Lyme-kór	ph:lájmkór	ph:lájm	hy:L.yme
Lyon	ph:lion	hy:L.y-on
Macintosh	ph:mekintos
Madách	ph:madács
Maine-	ph:méjn
Maine-nel	ph:méjnnel
Maine-né	ph:méjnné
Maine-t	ph:méjnt
Maine	ph:méjn
Manche-	ph:mans
Manche-sal	ph:manssal
Manche-sá	ph:manssá
Manche	ph:mans
Manet-	ph:mané
Manet-val	ph:manéval
Manet-vá	ph:manévá
Manet	ph:mané
Mariotte	ph:mariot
Marseillaise-	ph:marszejez
Marseillaise-zel	ph:marszejezzel
Marseillaise-zé	ph:marszejezzé
Marseillaise	ph:marszejez
Marseille-	ph:marszej
Marseille-jel	ph:marszejjel
Marseille-jé	ph:marszejjé
Marseille-t	ph:marszejt
Marseille	ph:marszej
Mary	ph:méri
Massachusetts	ph:messzecsúzec	ph:messzecsuzec
Maugham	ph:móm
Maupassant-	ph:mópaszan
Maupassant-nal	ph:mópaszannal
Maupassant-ná	ph:mópaszanná
Maupassant-t	ph:mópaszant
Maupassant	ph:mópaszan
McDonald''s	ph:megdonálc	ph:megdonalc	ph:mekdonálc	ph:mekdonalc	ph:meki
Melbourne-	ph:melbörn
Melbourne-nel	ph:melbörnnel
Melbourne-né	ph:melbörnné
Melbourne-t	ph:melbörnt
Melbourne	ph:melbörn
Mercedes	ph:mercédesz
Michael	ph:misel	ph:májköl
Michigan	ph:micsigen
Mikosszéplak	hy:Mi-kos|szép|lak
Mindszenty	hy:t.y
Minnesota	ph:mineszota
Mississippi	ph:misziszipi
Mitsubishi	ph:micubisi	ph:micsubisi
Moli&egrave;re-	ph:molier
Moli&egrave;re-rel	ph:molierrel
Moli&egrave;re-ré	ph:molierré
Moli&egrave;re	ph:molier
Monet-	ph:moné
Monet-val	ph:monéval
Monet-vá	ph:monévá
Monet	ph:moné
Montaigne-	ph:monteny
Montaigne-nyel	ph:montennyel
Montaigne-nyé	ph:montennyé
Montaigne-t	ph:montenyt
Montaigne	ph:monteny
Montesquieu-	ph:monteszkiõ
Montesquieu-vel	ph:monteszkiõvel
Montesquieu-vé	ph:monteszkiõvé
Montesquieu	ph:monteszkiõ
Montreux-	ph:montrõ
Montreux-vel	ph:montrõvel
Montreux-vé	ph:montrõvé
Montreux	ph:montrõ
Moore	ph:mór
Moresby	ph:morzbi
Morse-	ph:mórsz	ph:morze
Morse-szal	ph:mórsszal	ph:morzeszal
Morse-szá	ph:mórsszá	ph:morzeszá
Morse	ph:mórsz	ph:morze
Mozart	ph:mócárt
Máramarossziget	hy:Mára|maros|sziget
Máriahalmok	hy:5
Máriahalom	hy:5
Mórahalmok	hy:4
Mórahalom	hy:4
Móricz	ph:móric
N''Djamena	ph:nndzsaména
Nemesszalók	hy:Ne-mes|sza-lók
Nemesszeghy	hy:s|sz
Nemesszentandrás	hy:Ne-mes|szent|and-rás
NetWare-	ph:netver
NetWare-rel	ph:netverrel
NetWare-ré	ph:netverré
NetWare-t	ph:netvert
NetWare	ph:netver
Neumann	ph:najman
New	ph:nyú
Nex&oslash;	ph:nekszõ
Ni&ntilde;o	ph:ninnyó	ph:nínyó
Niamey-	ph:niame
Niamey-vel	ph:niamevel
Niamey-vé	ph:niamevé
Niamey	ph:niame
Nietzsche	ph:niccse	hy:tz-sc
Nike-	ph:nájki
Nike-val	ph:nájkival
Nike-vá	ph:nájkivá
Nike	ph:nájki
Nissan	ph:nisszan
Noszty	hy:Nosz-t.y
Notre-Dame	ph:notredam
Novotny	hy:n.y
Office-	ph:ofisz
Office-szal	ph:ofisszal
Office-szá	ph:ofisszá
Office-t	ph:ofiszt
Office	ph:ofisz
Olty	hy:t.y
OpenOffice-	ph:openofisz
OpenOffice-szal	ph:openofisszal
OpenOffice-szá	ph:openofisszá
OpenOffice-t	ph:openofiszt
OpenOffice	ph:openofisz
Oracle-	ph:orákl
Oracle-lal	ph:orákllal
Oracle-lá	ph:orákllá
Oracle-t	ph:oráklt
Oracle	ph:orákl
Orleans	ph:orlinsz
Orléans-	ph:orleán
Orléans-nal	ph:orleánnal
Orléans-ná	ph:orleánná
Orléans	ph:orleán
Oscar	ph:oszkár
Ouagadougou	ph:vagadugu
Panasonic	ph:panaszonik
Pasteur	ph:pasztõr
Patrubány	hy:n.y
Paul	ph:pól
Pepsi-Cola	ph:pepszi-kóla	ph:pepszikóla
Perczel	ph:percel
Peregriny	hy:n.y
Perity	hy:t.y
Pesty	hy:t.y
Peugeot-	ph:pözsó
Peugeot-val	ph:pözsóval
Peugeot-vá	ph:pözsóvá
Peugeot	ph:pözsó
Pewny	hy:n.y
Peéty	hy:t.y
PhD-	ph:píécsdí	ph:piécsdi
PhD-s	ph:píécsdís	ph:piécsdis
PhD-vel	ph:píécsdível	ph:piécsdivel
PhD-vé	ph:píécsdívé	ph:piécsdivé
PhD	ph:píécsdí	ph:piécsdi
Philips	ph:filipsz
Picasso	ph:pikasszó*
Pick	ph:pikk
Pilisszentiván	hy:Pi-lis|szent|i=ván
Pilisszentkereszt	hy:Pi-lis|szent|ke-reszt
Pilisszentlászló	hy:Pi-lis|szent|lász-ló
Pilisszántó	hy:Pi-lis|szán-tó
Pinocchio	ph:pinokkió
Pittsburgh	ph:pidzbörg
Plymouth	ph:plimausz	hy:Pl.y-mouth
Poe-	ph:pó
Poe-val	ph:póval
Poe-vá	ph:póvá
Poe	ph:pó
Poisson	ph:poaszon
Porsche	ph:porse/q
Porsché	ph:porse
Port-au-Prince-	ph:port-o-prensz
Port-au-Prince-i	ph:port-o-prenszi
Port-au-Prince-szel	ph:port-o-prensszel
Port-au-Prince-t	ph:port-o-prenszt
Port-au-Prince	ph:port-o-prensz
Povolny	hy:n.y
Proust	ph:pruszt
Provence-	ph:provánsz	ph:provansz
Provence-szal	ph:provánsszal	ph:provansszal
Provence-szá	ph:provánsszá	ph:provansszá
Provence	ph:provánsz	ph:provansz
Purgly	hy:l.y
Quasimodo	ph:kvazimódó	ph:kvazimodó
Quijote-i	ph:kihótei
Quijote	ph:kihóte
Quijoté-s	ph:kihótés	ph:quijotés
Quijoté-s	ph:kihótés
Quijoté	ph:kihóte
Quimby	ph:kvimbi
Québec	ph:kebek
Rabelais-	ph:rablé
Rabelais-val	ph:rabléval
Rabelais-vá	ph:rablévá
Rabelais	ph:rablé
Racine-	ph:raszin
Racine-nal	ph:raszinnal
Racine-ná	ph:raszinná
Racine	ph:raszin
Raiffeisen	ph:rájfájzen	ph:rajfejzen
Reguly	hy:Re-gu-l.y
Renault-	ph:rönó	ph:renó
Renault-val	ph:rönóval	ph:renóval
Renault-vá	ph:rönóvá	ph:renóvá
Renault	ph:rönó	ph:renó
Renée-	ph:röné
Renée-vel	ph:rönével
Renée-vé	ph:rönévé
Renée	ph:röné
Rezsny	hy:n.y
Rh&ocirc;ne-	ph:rón
Rh&ocirc;ne-nal	ph:rónnal
Rh&ocirc;ne-ná	ph:rónná
Rh&ocirc;ne	ph:rón
Rhode	ph:ród
Richelieu-	ph:riseliü
Richelieu-vel	ph:riseliüvel
Richelieu-vé	ph:riseliüvé
Richelieu	ph:riseliü
Rimbaud-	ph:rembó
Rimbaud-val	ph:rembóval
Rimbaud-vá	ph:rembóvá
Rimbaud	ph:rembó
Robespierre-	ph:robeszpier
Robespierre-rel	ph:robeszpierrel
Robespierre-ré	ph:robeszpierré
Robespierre-t	ph:robeszpiert
Robespierre	ph:robeszpier
Rolls-Royce-	ph:rolsz-rojsz
Rolls-Royce-szal	ph:rolsz-rojsszal
Rolls-Royce-szá	ph:rolsz-rojsszá
Rolls-Royce-t	ph:rolsz-rojszt
Rolls-Royce	ph:rolsz-rojsz
Romeó-s	ph:romeós	ph:romeos	ph:romeo-s	ph:romeó-s
Rosty	hy:t.y
Rousseau-	ph:russzó
Rousseau-val	ph:russzóval
Rousseau-vá	ph:russzóvá
Rousseau	ph:russzó
Saint-Exupéry	ph:szent-egzüperi	ph:egzüperi
Saly	hy:l.y
Saágy	hy:g.y
Schrotty	hy:t.y
Schwotty	hy:t.y
Seattle-	ph:szietl
Seattle-lel	ph:szietllel
Seattle-lé	ph:szietllé
Seattle-t	ph:szietlt
Seattle	ph:szietl
Semmelweis	ph:szemmelveisz
Seneca	ph:szeneka
Serly	hy:l.y
Sexty	hy:t.y
Seychelle	ph:szejsel
Shakespeare-	ph:sekszpir
Shakespeare-rel	ph:sekszpirrel
Shakespeare-ré	ph:sekszpirré
Shakespeare-t	ph:sekszpirt
Shakespeare	ph:sekszpir
Shannon	ph:senon
Shaw-	ph:só
Shaw-val	ph:sóval
Shaw-vá	ph:sóvá
Shaw	ph:só
Shelley-	ph:seli
Shelley-vel	ph:selivel
Shelley-vé	ph:selivé
Shelley	ph:seli
